fid,radio_type,lon,lat
598,UMTS,30.03044128,-1.945266724
599,UMTS,30.14305115,-1.954879761
600,UMTS,30.11695862,-1.993331909
601,UMTS,30.07164001,-1.931533813
602,UMTS,30.12382507,-1.948013306
603,UMTS,30.107008,-1.960039
604,UMTS,30.08399963,-1.93977356
605,UMTS,30.125213,-1.960138
606,UMTS,30.06202698,-1.934280396
607,UMTS,30.08262634,-1.968612671
608,UMTS,30.17189026,-1.969985962
609,UMTS,30.085648,-1.95076
610,UMTS,30.13755798,-1.954879761
611,UMTS,30.10734558,-1.983718872
612,UMTS,30.05516052,-1.965866089
613,UMTS,30.05516052,-1.964492798
614,UMTS,30.1197052,-1.95350647
615,UMTS,30.22270203,-1.979598999
616,UMTS,30.08399963,-1.975479126
617,UMTS,30.08399963,-1.975479126
618,UMTS,30.094299,-1.945267
619,UMTS,30.083313,-1.975479
620,UMTS,30.04966736,-1.948013306
621,UMTS,30.0592804,-1.941146851
622,UMTS,30.06065369,-1.946640015
623,UMTS,30.04829407,-1.945266724
624,UMTS,30.04554749,-1.941146851
625,UMTS,30.27900696,-2.071609497
626,UMTS,30.069598,-1.960857
627,UMTS,30.27763367,-1.894454956
628,UMTS,30.12519836,-1.963119507
629,UMTS,30.0592804,-1.949386597
630,UMTS,30.0794,-1.94933
631,UMTS,30.05241394,-1.93977356
632,UMTS,30.053638,-1.940603
633,UMTS,30.056503,-1.961306
634,UMTS,30.05928,-1.948471
635,UMTS,30.08399963,-1.954879761
636,UMTS,30.06202698,-1.943893433
637,UMTS,30.04554749,-1.935653687
638,UMTS,30.059624,-1.949387
639,UMTS,30.04829407,-1.983718872
640,UMTS,30.04966736,-1.98097229
641,UMTS,30.054052,-1.966989
642,UMTS,30.06085,-1.945463
643,UMTS,30.0737,-1.961746
644,UMTS,30.06477356,-1.948013306
645,UMTS,30.07713318,-1.971359253
646,UMTS,29.6157074,-1.501693726
647,UMTS,30.06065369,-1.96723938
648,UMTS,29.81071472,-1.652755737
649,UMTS,30.0592804,-1.943893433
650,UMTS,30.089493,-1.965866
651,UMTS,30.050091,-1.92266
652,UMTS,30.060425,-1.940918
653,UMTS,30.06065369,-1.968612671
654,UMTS,30.066833,-1.946983
655,UMTS,30.0579071,-1.943893433
656,UMTS,29.62394714,-1.500320435
657,UMTS,30.061569,-1.949387
658,UMTS,30.054474,-1.95282
659,UMTS,30.07301331,-1.931533813
660,UMTS,30.09086609,-1.905441284
661,UMTS,30.04417419,-1.979598999
662,UMTS,30.038223,-1.94252
663,UMTS,30.08811951,-1.931533813
664,UMTS,30.07301331,-1.983718872
665,UMTS,30.05241394,-1.974105835
666,UMTS,30.082859,-1.944227
667,UMTS,30.090866,-1.951996
668,UMTS,30.07713318,-1.982345581
669,UMTS,29.260712,-1.696014
670,UMTS,29.54154968,-1.75163269
671,UMTS,28.91120911,-2.478103638
672,UMTS,29.08973694,-2.350387573
673,UMTS,30.033875,-1.939774
674,UMTS,30.07575989,-1.982345581
675,UMTS,29.24491882,-1.689834595
676,UMTS,29.24766541,-1.684341431
677,UMTS,29.26139832,-1.69670105
678,UMTS,29.343796,-2.066803
679,UMTS,29.263002,-1.701356
680,UMTS,30.202652,-1.982071
681,UMTS,30.09773254,-1.930160522
682,UMTS,30.149071,-1.958164
683,UMTS,30.07850647,-1.934280396
684,UMTS,30.11695862,-1.906814575
685,UMTS,30.092468,-1.916428
686,UMTS,30.115222,-1.935568
687,UMTS,30.125398,-1.950974
688,UMTS,30.123045,-1.949802
689,UMTS,30.12328,-1.950646
690,UMTS,30.188382,-1.985533
691,UMTS,30.124741,-1.950302
692,UMTS,30.09086609,-1.926040649
693,UMTS,30.127582,-1.950026
694,UMTS,30.09773254,-1.92741394
695,UMTS,30.065951,-1.937027
696,UMTS,30.115719,-1.943804
697,UMTS,30.17189026,-1.978225708
698,UMTS,30.10047913,-1.968612671
699,UMTS,30.119883,-1.953319
700,UMTS,30.109634,-1.989212
701,UMTS,30.142112,-1.948055
702,UMTS,30.10349,-1.954299
703,UMTS,30.096703,-1.925869
704,UMTS,30.150856,-1.945788
705,UMTS,30.165021,-1.958168
706,UMTS,30.1348114,-1.941146851
707,UMTS,30.135659,-1.952241
708,UMTS,30.11009216,-1.961746216
709,UMTS,30.10185242,-1.924667358
710,UMTS,30.2721405,-1.902694702
711,UMTS,30.160681,-1.951072
712,UMTS,30.295486,-2.088604
713,UMTS,30.09635925,-1.924667358
